precision@10= 0.2539,recall@10= 0.1444,precision@5= 0.2971, recall@5= 0.0866,map= 0.1858, mrr= 0.5306,ndcg= 0.5322
precision@10= 0.3138,recall@10= 0.1985,precision@5= 0.3734, recall@5= 0.1250,map= 0.2492, mrr= 0.6234,ndcg= 0.5915
precision@10= 0.3366,recall@10= 0.2126,precision@5= 0.3998, recall@5= 0.1342,map= 0.2707, mrr= 0.6570,ndcg= 0.6105
precision@10= 0.3516,recall@10= 0.2257,precision@5= 0.4145, recall@5= 0.1392,map= 0.2825, mrr= 0.6720,ndcg= 0.6202
precision@10= 0.3550,recall@10= 0.2278,precision@5= 0.4227, recall@5= 0.1435,map= 0.2879, mrr= 0.6865,ndcg= 0.6251
precision@10= 0.3607,recall@10= 0.2323,precision@5= 0.4261, recall@5= 0.1436,map= 0.2901, mrr= 0.6846,ndcg= 0.6267
precision@10= 0.3607,recall@10= 0.2326,precision@5= 0.4325, recall@5= 0.1467,map= 0.2908, mrr= 0.6860,ndcg= 0.6267
precision@10= 0.3550,recall@10= 0.2267,precision@5= 0.4225, recall@5= 0.1436,map= 0.2860, mrr= 0.6734,ndcg= 0.6221
precision@10= 0.3539,recall@10= 0.2252,precision@5= 0.4181, recall@5= 0.1418,map= 0.2828, mrr= 0.6628,ndcg= 0.6191
precision@10= 0.3525,recall@10= 0.2248,precision@5= 0.4183, recall@5= 0.1411,map= 0.2774, mrr= 0.6507,ndcg= 0.6139
precision@10= 0.3497,recall@10= 0.2216,precision@5= 0.4079, recall@5= 0.1363,map= 0.2727, mrr= 0.6474,ndcg= 0.6104
precision@10= 0.3424,recall@10= 0.2175,precision@5= 0.4040, recall@5= 0.1335,map= 0.2699, mrr= 0.6395,ndcg= 0.6079
precision@10= 0.3411,recall@10= 0.2159,precision@5= 0.4017, recall@5= 0.1342,map= 0.2679, mrr= 0.6481,ndcg= 0.6073
precision@10= 0.3390,recall@10= 0.2154,precision@5= 0.4023, recall@5= 0.1336,map= 0.2680, mrr= 0.6477,ndcg= 0.6075
precision@10= 0.3355,recall@10= 0.2136,precision@5= 0.3985, recall@5= 0.1336,map= 0.2628, mrr= 0.6384,ndcg= 0.6027
precision@10= 0.3369,recall@10= 0.2146,precision@5= 0.3906, recall@5= 0.1302,map= 0.2608, mrr= 0.6341,ndcg= 0.6010
precision@10= 0.3329,recall@10= 0.2128,precision@5= 0.3900, recall@5= 0.1290,map= 0.2594, mrr= 0.6351,ndcg= 0.6001
precision@10= 0.3341,recall@10= 0.2146,precision@5= 0.3868, recall@5= 0.1287,map= 0.2581, mrr= 0.6329,ndcg= 0.5988
precision@10= 0.3287,recall@10= 0.2128,precision@5= 0.3849, recall@5= 0.1300,map= 0.2581, mrr= 0.6308,ndcg= 0.5993
