 Epoch: 0000;precision@5= 0.4112,precision@10= 0.3404,recall@5= 0.3949,recall@10= 0.6138,map= 0.4816,mrr= 0.6021
 Epoch: 0001;precision@5= 0.4068,precision@10= 0.3381,recall@5= 0.3959,recall@10= 0.6099,map= 0.4847,mrr= 0.6182
 Epoch: 0002;precision@5= 0.4129,precision@10= 0.3430,recall@5= 0.4014,recall@10= 0.6253,map= 0.4864,mrr= 0.6113
 Epoch: 0003;precision@5= 0.4135,precision@10= 0.3437,recall@5= 0.3993,recall@10= 0.6241,map= 0.4828,mrr= 0.6037
 Epoch: 0004;precision@5= 0.4104,precision@10= 0.3414,recall@5= 0.3981,recall@10= 0.6208,map= 0.4843,mrr= 0.6086
 Epoch: 0005;precision@5= 0.4118,precision@10= 0.3421,recall@5= 0.4004,recall@10= 0.6216,map= 0.4799,mrr= 0.6001
 Epoch: 0006;precision@5= 0.4104,precision@10= 0.3422,recall@5= 0.3950,recall@10= 0.6220,map= 0.4835,mrr= 0.6025
 Epoch: 0007;precision@5= 0.4112,precision@10= 0.3411,recall@5= 0.3993,recall@10= 0.6189,map= 0.4831,mrr= 0.6101
 Epoch: 0008;precision@5= 0.4168,precision@10= 0.3424,recall@5= 0.4037,recall@10= 0.6199,map= 0.4869,mrr= 0.6065
 Epoch: 0009;precision@5= 0.4044,precision@10= 0.3382,recall@5= 0.3753,recall@10= 0.6005,map= 0.4683,mrr= 0.5945
 Epoch: 0000;precision@5= 0.3952,precision@10= 0.3348,recall@5= 0.3824,recall@10= 0.6021,map= 0.4697,mrr= 0.6008
 Epoch: 0000;precision@5= 0.3287,precision@10= 0.2767,recall@5= 0.1113,recall@10= 0.1792,map= 0.2110,mrr= 0.5530
 Epoch: 0001;precision@5= 0.3366,precision@10= 0.2860,recall@5= 0.1124,recall@10= 0.1850,map= 0.2224,mrr= 0.5811
 Epoch: 0002;precision@5= 0.3446,precision@10= 0.2933,recall@5= 0.1181,recall@10= 0.1891,map= 0.2292,mrr= 0.5757
 Epoch: 0003;precision@5= 0.3493,precision@10= 0.2930,recall@5= 0.1165,recall@10= 0.1864,map= 0.2286,mrr= 0.5867
 Epoch: 0004;precision@5= 0.3506,precision@10= 0.2964,recall@5= 0.1213,recall@10= 0.1911,map= 0.2336,mrr= 0.5915
